date,title,summary
2025-02-26,First Eagle Global Fund Q4 2024 Commentary,Equity market performance in the fourth quarter was in many ways a microcosm of the past two years. Read more here.
2025-02-26,Trump says Apple should eliminate diversity policies,"U.S. President Donald Trump on Wednesday said Apple Inc should get rid of any diversity, equity and inclusion rules, one day after company shareholders voted to keep the tech giant's DEI policies. ..."
2025-02-26,Apple to fix iPhone dictation glitch that suggests replacing the word 'racist' with 'Trump',"LONDON — Apple is fixing a bug within the dictation feature on some iPhones that briefly suggests the word “Trump” when a word with an R consonant is spoken, including racist. The company is..."
2025-02-26,First Eagle Overseas Fund Q4 2024 Commentary,Overseas Fund A Shares (without sales charge*) posted a return of -7.49% in fourth quarter 2024. Read more here.
2025-02-26,Too Many Bites Of The Apple: PTAB Rejects Tech Giant's IPR Blitz,"In a recent decision highlighting the Patent Trial and Appeal Board's growing concern with multiple petition practice, the PTAB has denied Apple's inter partes review petition challenging Smith..."
